City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Manggar,ID,-2.8833,108.2667,77.94,81,99,1.43,overcast clouds
149,Mastic Beach,US,40.7668,-72.8521,77.07,64,100,1.99,overcast clouds
150,Vardo,NO,70.3705,31.1107,49.08,85,98,27.09,overcast clouds
151,Pag,HR,44.445,15.0575,55.98,71,55,6.15,broken clouds
152,Teya,RU,60.3778,92.6267,33.98,97,100,1.83,overcast clouds
153,Cherskiy,RU,68.75,161.3,23.92,97,100,7.99,light snow
154,Bentiu,SS,9.2333,29.8333,72.68,86,100,5.26,light rain
155,Nampula,MZ,-15.1165,39.2666,75.15,64,0,14.97,clear sky
156,Talcahuano,CL,-36.7167,-73.1167,55.08,58,75,17.27,broken clouds
157,Hermanus,ZA,-34.4187,19.2345,51.91,57,100,8.97,overcast clouds
158,Primorsko-Akhtarsk,RU,46.0497,38.1747,53.98,67,15,19.01,few clouds
159,Seydi,TM,39.4816,62.9137,51.13,26,0,11.61,clear sky
160,Bara,NG,10.3744,10.7288,80.2,57,74,5.73,broken clouds
161,Castro,BR,-24.7911,-50.0119,62.33,97,100,4.05,overcast clouds
162,Qasigiannguit,GL,68.8193,-51.1922,23.63,94,93,1.5,overcast clouds
163,Piacabucu,BR,-10.4056,-36.4344,78.69,81,5,9.98,clear sky
164,Maningrida,AU,-12.0667,134.2667,77.49,90,100,5.93,overcast clouds
165,Havre-Saint-Pierre,CA,50.2334,-63.5986,48.56,93,90,5.75,mist
166,Guerrero Negro,MX,27.9769,-114.0611,87.55,36,0,3.44,clear sky
167,Kruisfontein,ZA,-34.0033,24.7314,48.88,64,100,17.4,overcast clouds
168,Kieta,PG,-6.2167,155.6333,78.98,81,100,2.57,overcast clouds
169,Talnakh,RU,69.4865,88.3972,17.74,92,64,3.0,broken clouds
170,Camana,PE,-16.6228,-72.7111,66.6,72,16,11.65,few clouds
171,Iqaluit,CA,63.7506,-68.5145,38.93,80,40,3.0,scattered clouds
172,Shahapur,IN,19.45,73.3333,81.88,91,100,1.54,light rain
173,Erechim,BR,-27.6342,-52.2739,69.84,96,100,4.38,light rain
174,Tonstad,NO,58.6626,6.7169,55.35,91,100,21.27,overcast clouds
175,Pevek,RU,69.7008,170.3133,24.35,67,18,21.07,few clouds
176,Lebu,CL,-37.6167,-73.65,51.69,56,6,17.49,clear sky
177,Aksarayskiy,RU,46.7924,48.0119,40.98,56,0,6.89,clear sky
178,Palmeiras De Goias,BR,-16.805,-49.9258,92.86,31,81,3.53,broken clouds
179,Florence,IT,43.7667,11.25,68.54,79,0,1.14,clear sky
180,East London,ZA,-33.0153,27.9116,56.7,54,64,26.08,broken clouds
181,Cayenne,GF,4.9333,-52.3333,89.64,76,24,5.99,few clouds
182,Calama,CL,-22.4667,-68.9333,73.89,7,0,24.16,clear sky
183,Safaga,EG,26.7292,33.9365,82.35,44,0,13.24,clear sky
184,Turukhansk,RU,65.8167,87.9833,31.55,92,100,2.48,overcast clouds
185,El Rosario,MX,24.2556,-107.1828,89.15,55,100,5.88,overcast clouds
186,Bengkulu,ID,-3.8004,102.2655,74.46,92,40,4.38,scattered clouds
187,Maniitsoq,GL,65.4167,-52.9,39.4,73,11,8.39,few clouds
188,Adrar,MR,20.5022,-10.0711,93.54,9,17,5.23,few clouds
189,Brae,GB,60.3964,-1.353,53.51,81,100,27.11,overcast clouds
190,Muros,ES,42.7762,-9.0603,68.99,91,100,27.96,overcast clouds
191,Nantucket,US,41.2835,-70.0995,71.13,76,17,20.11,few clouds
192,Port Elizabeth,ZA,-33.918,25.5701,51.1,87,90,19.57,light rain
193,Macheng,CN,31.1783,115.0319,74.59,67,3,5.35,clear sky
194,Gallipoli,TR,40.4103,26.6708,60.1,71,35,17.4,scattered clouds
195,Muzaffarabad,PK,34.37,73.4711,68.52,85,0,4.83,clear sky
196,Touros,BR,-5.1989,-35.4608,85.1,74,9,14.23,clear sky
197,Great Falls,US,47.5002,-111.3008,75.92,18,31,8.01,scattered clouds
198,Bud,US,39.447,-86.1758,71.83,94,100,10.42,overcast clouds
199,Filadelfia,US,39.9523,-75.1638,79.14,55,98,7.0,overcast clouds
200,Mortka,RU,59.3322,66.0214,31.51,92,70,6.06,broken clouds
201,Tessalit,ML,20.1986,1.0114,91.38,11,92,10.96,overcast clouds
202,Bathsheba,BB,13.2167,-59.5167,88.41,66,40,24.16,scattered clouds
203,Bonavista,CA,48.6499,-53.1147,63.12,76,4,8.93,clear sky
204,Romitan,UZ,39.9343,64.3814,48.15,40,0,11.5,clear sky
205,Komsomolskiy,UZ,40.4272,71.7189,54.32,58,100,6.91,overcast clouds
206,Sant,RO,47.45,24.9,46.09,84,0,1.28,clear sky
207,Bredasdorp,ZA,-34.5322,20.0403,48.27,76,100,5.75,overcast clouds
208,Avera,US,33.194,-82.5271,86.72,40,91,1.99,overcast clouds
209,Sao Filipe,CV,14.8961,-24.4956,79.48,83,48,8.57,scattered clouds
210,Gazli,UZ,40.1333,63.45,53.17,23,0,14.03,clear sky
211,Inuvik,CA,68.3499,-133.7218,36.61,96,90,9.22,light intensity drizzle
212,Bundaberg,AU,-24.85,152.35,62.22,95,0,0.0,clear sky
213,Ishikari,JP,43.2397,141.3539,54.27,67,71,19.93,broken clouds
