City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
147,Abu Samrah,SY,2021-09-26 15:27:23,35.3029,37.1841,82.13,19,0,6.13
148,Davila,PH,2021-09-26 15:23:19,18.4726,120.5763,80.58,83,4,16.22
149,Arkadak,RU,2021-09-26 15:27:24,51.9326,43.4978,48.83,90,100,8.7
150,Ribeira Grande,PT,2021-09-26 15:27:24,38.5167,-28.7,72.0,78,40,26.46
151,Tevaitoa,PF,2021-09-26 15:27:25,-16.7833,-151.5,78.33,80,3,15.01
152,Jacareacanga,BR,2021-09-26 15:27:25,-6.2222,-57.7528,96.3,37,18,2.84
153,Tallahassee,US,2021-09-26 15:27:25,30.4383,-84.2807,81.32,76,40,1.99
154,Nikolskoye,RU,2021-09-26 15:27:26,59.7035,30.7861,51.87,82,37,7.23
155,Guerrero Negro,MX,2021-09-26 15:27:27,27.9769,-114.0611,70.18,74,0,13.22
156,Norsup,VU,2021-09-26 15:27:27,-16.0667,167.3833,74.98,85,78,8.21
157,Westport,US,2021-09-26 15:27:28,41.1415,-73.3579,71.1,67,1,1.01
158,Sistranda,NO,2021-09-26 15:27:28,63.7256,8.834,57.16,82,95,8.5
159,Praia Da Vitoria,PT,2021-09-26 15:27:28,38.7333,-27.0667,72.75,88,75,21.74
160,Irbit,RU,2021-09-26 15:27:29,57.6705,63.071,41.86,50,95,12.48
161,Bluff,NZ,2021-09-26 15:27:29,-46.6,168.3333,38.8,74,33,5.41
162,Hilo,US,2021-09-26 15:25:34,19.7297,-155.09,77.29,90,75,4.61
163,Alta Floresta,BR,2021-09-26 15:27:30,-9.8756,-56.0861,84.02,74,0,4.61
164,Porto Novo,BJ,2021-09-26 15:27:31,6.4965,2.6036,84.02,65,75,9.31
165,Ponta Do Sol,PT,2021-09-26 15:27:31,32.6667,-17.1,77.72,65,96,3.02
166,Kutum,SD,2021-09-26 15:27:31,14.2,24.6667,84.02,37,72,10.69
167,Canto Do Buriti,BR,2021-09-26 15:27:32,-8.11,-42.9444,96.55,27,1,9.01
168,Arraial Do Cabo,BR,2021-09-26 15:27:32,-22.9661,-42.0278,82.36,65,0,17.27
169,Launceston,AU,2021-09-26 15:27:33,-41.45,147.1667,37.04,89,75,6.91
170,Murray Bridge,AU,2021-09-26 15:27:33,-35.1167,139.2667,59.68,54,78,7.49
171,Bonavista,CA,2021-09-26 15:27:34,48.6499,-53.1147,62.6,79,78,15.97
172,Majene,ID,2021-09-26 15:27:34,-3.5403,118.9707,78.76,81,66,8.14
173,Ucluelet,CA,2021-09-26 15:22:57,48.9329,-125.5528,55.71,93,100,1.99
174,Asasa,ET,2021-09-26 15:27:35,7.1,39.2,55.65,88,75,2.37
175,Manbij,SY,2021-09-26 15:27:35,36.5281,37.9549,83.17,19,0,0.51
176,Lukovetskiy,RU,2021-09-26 15:27:35,64.2956,41.9211,44.58,93,99,3.33
177,Marsa Matruh,EG,2021-09-26 15:27:36,31.3525,27.2453,76.23,57,0,10.4
178,Talnakh,RU,2021-09-26 15:27:36,69.4865,88.3972,34.47,55,83,4.94
179,Sangar,RU,2021-09-26 15:27:37,63.9242,127.4739,33.6,93,41,2.55
180,Tuktoyaktuk,CA,2021-09-26 15:27:37,69.4541,-133.0374,32.0,100,90,14.97
181,Rovaniemi,FI,2021-09-26 15:27:38,66.5,25.7167,45.81,87,0,13.8
182,Ilulissat,GL,2021-09-26 15:27:38,69.2167,-51.1,21.22,58,0,4.61
183,Provideniya,RU,2021-09-26 15:27:38,64.3833,-173.3,32.76,84,100,6.24
184,Ancud,CL,2021-09-26 15:27:39,-41.8697,-73.8203,49.53,61,10,1.54
185,Plainfield,US,2021-09-26 15:23:54,40.6168,-74.4173,71.01,55,1,8.01
186,Half Moon Bay,US,2021-09-26 15:27:40,37.4636,-122.4286,62.06,83,90,4.61
187,Zhezkazgan,KZ,2021-09-26 15:27:40,47.8043,67.7144,67.14,12,100,9.73
188,Pevek,RU,2021-09-26 15:27:41,69.7008,170.3133,30.18,98,100,11.05
189,Cidreira,BR,2021-09-26 15:27:41,-30.1811,-50.2056,70.59,71,1,7.11
190,Hasaki,JP,2021-09-26 15:27:41,35.7333,140.8333,64.8,63,74,11.56
191,Kalmunai,LK,2021-09-26 15:27:42,7.4167,81.8167,83.8,73,99,4.59
192,Georgetown,MY,2021-09-26 15:25:46,5.4112,100.3354,77.9,94,40,8.05
193,Sabha,LY,2021-09-26 15:27:42,27.0377,14.4283,88.11,13,0,9.8
194,Flin Flon,CA,2021-09-26 15:27:43,54.7682,-101.865,51.64,82,20,2.3
195,Cascais,PT,2021-09-26 15:27:43,38.6979,-9.4215,78.51,73,20,1.01
196,Hithadhoo,MV,2021-09-26 15:27:44,-0.6,73.0833,82.65,73,76,15.35
197,Miranda,CO,2021-09-26 15:27:44,3.2499,-76.2281,83.64,52,55,3.96
198,Acapulco,MX,2021-09-26 15:27:44,16.8634,-99.8901,82.13,75,100,2.28
199,Katsuura,JP,2021-09-26 15:27:45,35.1333,140.3,67.1,70,51,9.91
200,Carutapera,BR,2021-09-26 15:27:45,-1.195,-46.02,86.22,60,64,11.9
201,La Trinidad,PH,2021-09-26 15:27:46,16.455,120.5875,64.87,87,98,3.69
202,Dolores,AR,2021-09-26 15:27:46,-36.3132,-57.6792,69.42,65,0,8.41
203,Bowen,AU,2021-09-26 15:27:47,-20.0167,148.2333,61.02,83,2,9.84
204,Sipe Sipe,BO,2021-09-26 15:27:47,-17.45,-66.3833,74.16,36,2,1.61
205,Ende,ID,2021-09-26 15:27:47,-8.8432,121.6623,77.27,83,61,2.21
206,Mattru,SL,2021-09-26 15:27:48,7.6244,-11.8332,80.87,87,100,4.36
207,Khatanga,RU,2021-09-26 15:27:48,71.9667,102.5,33.1,84,100,7.96
208,Leningradskiy,RU,2021-09-26 15:27:49,69.3833,178.4167,22.39,85,97,7.72
209,Aasiaat,GL,2021-09-26 15:27:49,68.7098,-52.8699,14.05,66,3,7.54
210,Hobart,AU,2021-09-26 15:27:50,-42.8794,147.3294,43.05,86,6,1.99
211,Tezu,IN,2021-09-26 15:27:50,27.9167,96.1667,76.26,86,24,5.91
212,Spolaita,GR,2021-09-26 15:27:50,38.6966,21.3464,80.98,25,0,3.96
213,Antalaha,MG,2021-09-26 15:27:51,-14.9003,50.2788,73.38,74,72,12.77
214,Thompson,CA,2021-09-26 15:25:19,55.7435,-97.8558,46.56,87,75,4.61
215,Ust-Nera,RU,2021-09-26 15:27:51,64.5667,143.2,32.92,87,82,4.97
216,Norman Wells,CA,2021-09-26 15:27:52,65.282,-126.8329,30.24,93,75,5.75
217,Kharitonovo,RU,2021-09-26 15:27:52,61.4009,47.4978,46.11,94,100,7.61
218,Emerald,AU,2021-09-26 15:27:53,-23.5333,148.1667,69.94,68,59,14.97
219,Sao Filipe,CV,2021-09-26 15:27:53,14.8961,-24.4956,79.54,75,72,5.17
220,Cabinda,AO,2021-09-26 15:27:53,-5.55,12.2,82.54,69,40,8.05
221,Rockhampton,AU,2021-09-26 15:27:45,-23.3833,150.5,69.69,68,55,9.22
