City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
199,Mikumi,TZ,-7.4041,36.9831,78.39,49,96,6.73,overcast clouds
200,Fortuna,US,40.5982,-124.1573,62.98,77,1,0.0,clear sky
201,Hilo,US,19.7297,-155.09,73.8,94,90,6.91,heavy intensity rain
202,Talara,PE,-4.5772,-81.2719,79.56,53,0,11.5,clear sky
203,Wajir,KE,1.7471,40.0573,84.02,52,77,18.9,broken clouds
204,Colesberg,ZA,-30.72,25.0972,68.36,18,68,8.01,broken clouds
205,Tsimlyansk,RU,47.6461,42.1019,43.72,49,5,12.5,clear sky
206,Sao Filipe,CV,14.8961,-24.4956,80.62,77,65,9.71,broken clouds
207,Komsomolskiy,UZ,40.4272,71.7189,65.12,59,99,4.61,overcast clouds
208,Sinnamary,GF,5.3833,-52.95,84.72,69,48,9.37,scattered clouds
209,Matamoros,MX,25.5333,-103.25,83.1,42,12,2.15,few clouds
210,Nisia Floresta,BR,-6.0911,-35.2086,86.81,57,32,13.42,scattered clouds
211,Warmbad,NA,-28.45,18.7333,70.07,31,93,20.76,overcast clouds
212,Port Lincoln,AU,-34.7333,135.8667,54.66,77,67,13.65,broken clouds
213,Mazatlan,MX,23.2167,-106.4167,87.91,76,7,4.0,clear sky
214,Akhaldaba,GE,41.654,42.1516,52.83,99,100,1.88,light rain
215,Churapcha,RU,62.0025,132.4325,33.31,96,100,6.53,light snow
216,Jaragua,BR,-15.7569,-49.3344,91.62,43,51,13.87,broken clouds
217,Flinders,AU,-34.5833,150.8552,61.38,87,100,1.01,light rain
218,Namatanai,PG,-3.6667,152.4333,79.75,84,77,7.36,light rain
219,Merauke,ID,-8.4667,140.3333,77.05,89,95,9.86,overcast clouds
220,Beeville,US,28.4008,-97.7483,92.28,74,75,5.75,broken clouds
221,Hasaki,JP,35.7333,140.8333,68.4,82,100,12.8,light rain
222,New Norfolk,AU,-42.7826,147.0587,53.74,72,100,1.01,light rain
223,Shenjiamen,CN,29.9576,122.298,72.52,78,1,6.96,clear sky
224,Guthrie,US,35.8789,-97.4253,67.95,54,62,13.8,light rain
225,Villa Altagracia,DO,18.673,-70.171,90.91,59,20,3.78,few clouds
226,Iqaluit,CA,63.7506,-68.5145,31.73,93,90,2.3,overcast clouds
227,San Patricio,US,28.017,-97.5169,91.49,57,25,10.09,scattered clouds
228,Hamilton,US,39.1834,-84.5333,79.05,49,75,1.99,broken clouds
229,Homer,US,59.6425,-151.5483,38.8,73,1,5.75,clear sky
230,Dedovichi,RU,57.5517,29.9502,41.7,85,30,6.02,scattered clouds
231,Baglung,NP,28.2719,83.5898,69.44,94,99,1.79,overcast clouds
232,Goure,NE,13.9835,10.2704,92.01,15,36,9.22,scattered clouds
233,Bilibino,RU,68.0546,166.4372,2.61,99,98,2.37,overcast clouds
234,Provideniya,RU,64.3833,-173.3,26.56,84,57,11.74,broken clouds
235,Ilulissat,GL,69.2167,-51.1,28.42,50,75,3.44,broken clouds
236,Sistranda,NO,63.7256,8.834,55.9,73,98,11.45,overcast clouds
237,Yukamenskoye,RU,57.8865,52.2416,43.54,97,100,5.84,overcast clouds
238,Santa Rosa,PH,14.3122,121.1114,80.58,89,80,3.18,broken clouds
239,Balabac,PH,7.9868,117.0645,80.82,80,100,2.86,overcast clouds
240,Mindelheim,DE,48.05,10.4833,51.57,81,0,3.44,clear sky
241,Beringovskiy,RU,63.05,179.3167,33.75,87,100,22.86,light rain
242,Cabo San Lucas,MX,22.8909,-109.9124,88.61,66,2,2.91,clear sky
243,Oranjemund,NA,-28.55,16.4333,57.76,92,17,4.25,few clouds
244,Namibe,AO,-15.1961,12.1522,62.83,84,25,8.79,scattered clouds
245,Pecos,US,31.4229,-103.4932,80.69,34,1,14.97,clear sky
246,Jalu,LY,29.0331,21.5482,85.12,39,31,8.75,scattered clouds
247,Gari,RU,59.4307,62.3497,40.32,95,100,9.13,light rain
248,Goderich,CA,43.7501,-81.7165,64.04,67,0,6.91,clear sky
249,Forbes,AU,-33.3833,148.0167,53.92,94,79,5.57,broken clouds
250,Faya,SA,18.3851,42.4509,69.91,58,89,3.06,overcast clouds
251,Lucapa,AO,-8.4192,20.7447,70.9,80,100,5.95,light rain
252,Lata,PT,40.1629,-8.3327,82.04,60,18,4.81,few clouds
253,Saldanha,ZA,-33.0117,17.9442,68.05,80,6,9.93,clear sky
254,Nortelandia,BR,-14.4547,-56.8028,101.7,23,18,6.24,few clouds
255,Vestmanna,FO,62.1564,-7.1664,49.12,100,90,20.71,overcast clouds
256,Buchanan,LR,5.8808,-10.0467,85.96,80,77,6.58,broken clouds
257,Vila Franca Do Campo,PT,37.7167,-25.4333,75.61,80,68,2.57,broken clouds
258,Bordighera,IT,43.7806,7.6645,77.29,58,13,1.99,few clouds
259,La Baneza,ES,42.3003,-5.8977,69.6,44,40,5.97,scattered clouds
260,Esperance,AU,-33.8667,121.9,57.04,88,4,6.67,clear sky
261,Inta,RU,66.0317,60.1659,36.19,74,81,7.14,broken clouds
262,Auki,SB,-8.7676,160.7034,77.49,86,93,4.23,overcast clouds
263,Ayan,RU,56.45,138.1667,47.23,88,55,9.84,light rain
264,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,65,22,19.55,few clouds
265,Acapulco,MX,16.8634,-99.8901,84.67,71,51,5.06,broken clouds
266,Xai-Xai,MZ,-25.0519,33.6442,68.77,82,52,7.9,broken clouds
267,Leningradskiy,RU,69.3833,178.4167,23.95,94,100,14.5,light snow
268,Sharan,RU,54.8167,54.0,41.97,83,100,6.73,overcast clouds
269,Ulaanbaatar,MN,47.9077,106.8832,21.33,79,0,0.0,clear sky
270,Sembe,CG,1.6481,14.5806,71.56,98,100,3.42,moderate rain
271,Barao De Melgaco,BR,-16.1944,-55.9675,102.72,20,27,6.58,scattered clouds
272,Isangel,VU,-19.55,169.2667,72.16,91,94,10.2,overcast clouds
273,West Wendover,US,40.7391,-114.0733,56.41,23,1,0.0,clear sky
274,Bereda,ES,43.2686,-7.5406,70.57,30,59,3.06,broken clouds
275,Tuatapere,NZ,-46.1333,167.6833,47.82,88,88,4.27,overcast clouds
276,Saint-Augustin,CA,51.226,-58.6502,43.95,90,100,25.52,overcast clouds
277,Thap Than,TH,15.4606,99.8917,78.1,90,43,4.79,light rain
278,Raga,SS,8.4596,25.678,77.72,65,46,3.98,scattered clouds
279,Port Macquarie,AU,-31.4333,152.9167,58.96,79,97,8.93,overcast clouds
280,Narsaq,GL,60.9167,-46.05,39.42,33,0,2.55,clear sky
281,Tabou,CI,4.423,-7.3528,77.81,85,71,7.56,broken clouds
282,Miandrivazo,MG,-19.5167,45.4667,81.03,56,42,4.21,scattered clouds
283,Carnarvon,AU,-24.8667,113.6333,69.87,88,34,6.91,scattered clouds
284,Muros,ES,42.7762,-9.0603,68.5,67,50,9.91,scattered clouds
285,Samarai,PG,-10.6167,150.6667,79.43,86,90,6.6,overcast clouds
286,Canico,PT,32.6333,-16.85,77.72,68,20,21.85,few clouds
287,Thompson,CA,55.7435,-97.8558,59.16,67,40,4.61,scattered clouds
288,San Jose,US,37.3394,-121.895,81.52,43,1,0.0,clear sky
289,The Pas,CA,53.8251,-101.2541,60.82,63,1,3.44,clear sky
290,Mtwara,TZ,-10.2667,40.1833,75.81,83,9,6.85,clear sky
291,Berlevag,NO,70.8578,29.0864,46.4,83,57,12.08,broken clouds
292,Korla,CN,41.7597,86.1469,68.18,20,0,4.7,clear sky
293,Sisimiut,GL,66.9395,-53.6735,35.71,73,96,3.67,overcast clouds
294,Geraldton,AU,-28.7667,114.6,64.81,68,40,5.75,light rain
295,Bani Walid,LY,31.7566,13.9942,74.46,58,0,14.83,clear sky
296,Pontianak,ID,-0.0333,109.3333,75.18,100,90,3.44,overcast clouds
297,Scottsbluff,US,41.8666,-103.6672,60.82,54,90,6.91,overcast clouds
298,Pochutla,MX,15.7432,-96.4661,89.82,59,79,6.29,broken clouds
299,La Union,PE,-5.4,-80.75,85.01,35,99,13.65,overcast clouds
300,Tokur,RU,53.1333,132.9,32.02,99,100,3.18,light snow
301,Nerchinskiy Zavod,RU,51.3088,119.61,28.44,87,85,3.36,overcast clouds
302,Ancud,CL,-41.8697,-73.8203,51.33,51,66,10.2,broken clouds
303,Chutove,UA,49.7104,35.1603,47.01,53,2,7.43,clear sky
304,Turukhansk,RU,65.8167,87.9833,33.93,83,98,7.36,overcast clouds
305,La Ronge,CA,55.1001,-105.2842,61.05,44,20,12.66,few clouds
306,Afua,BR,-0.1567,-50.3867,92.57,45,22,9.33,few clouds
307,Almeirim,BR,-1.5233,-52.5817,92.79,44,35,3.09,scattered clouds
308,Atherton,GB,53.5237,-2.4935,59.79,96,100,1.99,overcast clouds
309,Clarence Town,AU,-32.5833,151.7833,63.81,82,100,2.62,overcast clouds
310,Okha,RU,53.5739,142.9478,49.87,93,100,1.5,overcast clouds
311,Oksfjord,NO,70.2396,22.3479,46.47,79,25,6.62,scattered clouds
312,Pulwama,IN,33.874,74.8996,64.36,68,4,1.14,clear sky
313,Mezen,RU,65.8522,44.24,44.69,94,100,3.4,overcast clouds
314,Illapel,CL,-31.6308,-71.1653,69.58,25,0,9.51,clear sky
315,Rawson,AR,-43.3002,-65.1023,66.09,24,6,24.87,clear sky
316,Pasighat,IN,28.0667,95.3333,75.58,92,9,2.39,clear sky
317,Puro,PH,12.4841,123.3827,81.32,83,86,6.6,overcast clouds
318,Dingle,PH,10.9995,122.6711,76.28,91,50,2.46,scattered clouds
319,Moosomin,CA,50.1333,-101.6677,68.11,27,82,4.81,broken clouds
320,Bambanglipuro,ID,-7.95,110.2833,62.6,87,52,4.12,broken clouds
321,Cochrane,CA,51.1834,-114.4687,66.42,60,90,4.61,overcast clouds
322,Wanning,CN,18.8003,110.3967,77.4,84,5,4.79,clear sky
323,Payo,ID,-3.7508,103.6372,71.42,96,100,2.66,light rain
324,Birsk,RU,55.4211,55.5428,38.77,84,99,5.86,overcast clouds
325,Aklavik,CA,68.2191,-135.0107,22.03,93,78,1.74,broken clouds
326,Cabedelo,BR,-6.9811,-34.8339,84.87,71,24,12.48,few clouds
327,Lasa,IT,46.6166,10.7002,60.71,91,64,2.08,broken clouds
328,Salym,RU,60.0625,71.4789,35.24,97,97,7.47,light rain
329,Zhigansk,RU,66.7697,123.3711,27.39,72,48,2.26,scattered clouds
330,Marogong,PH,7.6667,124.15,72.68,91,91,2.51,overcast clouds
331,Lethem,GY,3.3803,-59.7968,94.98,40,34,3.36,scattered clouds
332,Kolyvan,RU,55.3053,82.7391,39.06,95,100,4.79,overcast clouds
333,Sao Joao De Pirabas,BR,-0.7747,-47.1772,85.71,64,42,7.78,scattered clouds
334,Mglin,RU,53.0591,32.8475,43.12,75,100,4.14,overcast clouds
335,Pitimbu,BR,-7.4706,-34.8086,84.79,74,44,11.74,scattered clouds
336,Port Blair,IN,11.6667,92.75,81.43,83,100,7.99,overcast clouds
337,Watertown,US,42.3709,-71.1828,61.86,61,75,1.99,broken clouds
338,Katsuura,JP,35.1333,140.3,70.2,88,100,17.27,heavy intensity rain
339,Grindavik,IS,63.8424,-22.4338,45.07,70,0,14.97,clear sky
340,Awbari,LY,26.5921,12.7805,82.67,27,0,7.85,clear sky
341,Macaubas,BR,-13.0194,-42.6986,96.19,16,26,4.81,scattered clouds
342,Badnawar,IN,23.0167,75.2167,77.67,81,97,2.98,overcast clouds
343,Tasiilaq,GL,65.6145,-37.6368,39.36,88,2,10.02,clear sky
344,Ishinomaki,JP,38.4167,141.3,69.94,93,100,9.31,light rain
345,Varadero,CU,23.1536,-81.2514,84.96,69,51,12.41,broken clouds
346,Ridgecrest,US,35.6225,-117.6709,77.02,10,1,1.99,clear sky
347,Moron,AR,-34.6534,-58.6198,62.35,98,99,1.01,moderate rain
